			Stock 1			Stock 2			Stock 3			Stock 4
			2			42			0			56
			3			41			0			56
			4			40			0			56
			5			39			0			56
			6			38			0			56
			7			37			0			56
			8			36			0			56
			9			35			0			56
			10			34			0			56
			11			33			0			56
			12			32			0			56
			13			31			0			56
			14			30			0			56
			15			29			0			56
			15			0			29			56
			16			28			0			56
			16			0			28			56
			17			27			0			56
			17			0			27			56
			18			26			0			56
			18			0			26			56
			19			0			25			56
			20			0			24			56
			2			41			1			56
			3			40			1			56
			4			39			1			56
			5			38			1			56
			6			37			1			56
			7			36			1			56
			8			35			1			56
			9			34			1			56
			10			33			1			56
			11			32			1			56
			12			31			1			56
			13			30			1			56
			14			29			1			56
			14			1			29			56
			15			28			1			56
			15			1			28			56
			16			27			1			56
			16			1			27			56
			17			26			1			56
			17			1			26			56
			18			25			1			56
			18			1			25			56
			19			1			24			56
			20			1			23			56
			3			39			2			56
			4			38			2			56
			5			37			2			56
			6			36			2			56
			7			35			2			56
			8			34			2			56
			9			33			2			56
			10			32			2			56
			11			31			2			56
			12			30			2			56
			13			29			2			56
			14			28			2			56
			14			2			28			56
			15			27			2			56
			15			2			27			56
			16			26			2			56
			16			2			26			56
			17			25			2			56
			17			2			25			56
			18			24			2			56
			18			2			24			56
			19			2			23			56
			20			2			22			56
			3			38			3			56
			3			37			4			56
			4			37			3			56
			5			36			3			56
			6			35			3			56
			7			34			3			56
			8			33			3			56
			9			32			3			56
			10			31			3			56
			11			30			3			56
			12			29			3			56
			13			28			3			56
			14			27			3			56
			14			3			27			56
			15			26			3			56
			15			3			26			56
			16			25			3			56
			16			3			25			56
			17			24			3			56
			17			3			24			56
			18			23			3			56
			18			3			23			56
			19			3			22			56
			20			3			21			56
			4			36			4			56
			4			35			5			56
			5			35			4			56
			4			34			6			56
			6			34			4			56
			7			33			4			56
			8			32			4			56
			9			31			4			56
			10			30			4			56
			11			29			4			56
			12			28			4			56
			13			27			4			56
			13			4			27			56
			14			26			4			56
			14			4			26			56
			15			25			4			56
			15			4			25			56
			16			24			4			56
			16			4			24			56
			17			23			4			56
			17			4			23			56
			18			22			4			56
			18			4			22			56
			19			4			21			56
			20			4			20			56
			5			34			5			56
			5			33			6			56
			6			33			5			56
			5			32			7			56
			7			32			5			56
			5			31			8			56
			8			31			5			56
			9			30			5			56
			10			29			5			56
			11			28			5			56
			12			27			5			56
			13			26			5			56
			13			5			26			56
			14			25			5			56
			14			5			25			56
			15			24			5			56
			15			5			24			56
			16			23			5			56
			16			5			23			56
			17			22			5			56
			17			5			22			56
			18			21			5			56
			18			5			21			56
			19			5			20			56
			20			5			19			56
			6			32			6			56
			6			31			7			56
			7			31			6			56
			6			30			8			56
			8			30			6			56
			6			29			9			56
			9			29			6			56
			6			28			10			56
			10			28			6			56
			11			27			6			56
			12			26			6			56
			13			25			6			56
			13			6			25			56
			14			24			6			56
			14			6			24			56
			15			23			6			56
			15			6			23			56
			16			22			6			56
			16			6			22			56
			17			21			6			56
			17			6			21			56
			18			20			6			56
			18			6			20			56
			19			6			19			56
			7			30			7			56
			7			29			8			56
			8			29			7			56
			7			28			9			56
			9			28			7			56
			7			27			10			56
			10			27			7			56
			7			26			11			56
			11			26			7			56
			7			25			12			56
			12			25			7			56
			7			24			13			56
			13			24			7			56
			13			7			24			56
			14			23			7			56
			14			7			23			56
			15			22			7			56
			15			7			22			56
			16			21			7			56
			16			7			21			56
			17			20			7			56
			17			7			20			56
			18			19			7			56
			18			7			19			56
			19			7			18			56
			8			28			8			56
			8			27			9			56
			9			27			8			56
			8			26			10			56
			10			26			8			56
			8			25			11			56
			11			25			8			56
			8			24			12			56
			12			24			8			56
			12			8			24			56
			8			23			13			56
			13			23			8			56
			13			8			23			56
			8			22			14			56
			14			22			8			56
			14			8			22			56
			8			21			15			56
			15			21			8			56
			15			8			21			56
			16			20			8			56
			16			8			20			56
			17			19			8			56
			17			8			19			56
			19			8			17			56
			18			18			8			56
			18			8			18			56
			9			26			9			56
			9			25			10			56
			10			25			9			56
			9			24			11			56
			11			24			9			56
			9			23			12			56
			12			23			9			56
			12			9			23			56
			9			22			13			56
			13			22			9			56
			13			9			22			56
			9			21			14			56
			14			21			9			56
			14			9			21			56
			9			20			15			56
			15			20			9			56
			15			9			20			56
			9			19			16			56
			16			19			9			56
			16			9			19			56
			19			16			9			56
			19			9			16			56
			9			18			17			56
			17			18			9			56
