			Stock 1			Stock 2			Stock 3			Stock 4
			24			17			15			44
			22			4			30			44
			13			21			22			44
			14			13			29			44
			23			13			20			44
			30			12			14			44
			10			30			16			44
			23			2			31			44
			25			18			13			44
			10			37			9			44
			12			21			23			44
			9			38			9			44
			19			17			20			44
			24			19			13			44
			27			17			12			44
			19			22			15			44
			18			14			24			44
			12			14			30			44
			27			2			27			44
			17			17			22			44
			18			18			20			44
			12			12			32			44
			23			23			10			44
			15			15			26			44
			17			26			13			44
			28			2			26			44
			12			27			17			44
			20			4			32			44
			20			9			27			44
			15			29			12			44
			16			7			33			44
			12			31			13			44
			15			9			32			44
			16			12			28			44
			22			24			10			44
			14			12			30			44
			33			10			13			44
			28			4			24			44
			28			0			28			44
			19			26			11			44
			16			26			14			44
			20			7			29			44
			14			30			12			44
			23			18			15			44
			13			13			30			44
			16			21			19			44
			18			6			32			44
			26			9			21			44
			15			12			29			44
			27			6			23			44
			17			20			19			44
			28			17			11			44
			29			5			22			44
			9			34			13			44
			11			31			14			44
			16			9			31			44
			14			32			10			44
			29			16			11			44
			27			1			28			44
			17			15			24			44
			26			10			20			44
			25			13			18			44
			23			0			33			44
			24			9			23			44
			12			25			19			44
			11			20			25			44
			22			17			17			44
			35			4			17			44
			18			17			21			44
			26			11			19			44
			10			21			25			44
			9			15			32			44
			30			5			21			44
			23			14			19			44
			22			21			13			44
			29			2			25			44
			31			11			14			44
			18			16			22			44
			24			13			19			44
			20			19			17			44
			11			18			27			44
			17			19			20			44
			9			27			20			44
			9			18			29			44
			28			7			21			44
			15			30			11			44
			14			10			32			44
			17			23			16			44
			20			22			14			44
			24			12			20			44
			23			11			22			44
			17			12			27			44
			27			9			20			44
			32			4			20			44
			13			30			13			44
			16			18			22			44
			33			0			23			44
			15			17			24			44
			21			5			30			44
			18			19			19			44
			31			10			15			44
			24			21			11			44
			22			7			27			44
			10			32			14			44
			22			23			11			44
			27			5			24			44
			20			15			21			44
			9			17			30			44
			21			20			15			44
			11			34			11			44
			23			5			28			44
			24			22			10			44
			19			27			10			44
			9			37			10			44
			30			7			19			44
			14			20			22			44
			13			23			20			44
			16			17			23			44
			31			13			12			44
			20			5			31			44
			19			9			28			44
			18			25			13			44
			20			18			18			44
			18			13			25			44
			33			8			15			44
